City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Carnarvon,AU,-24.8667,113.6333,71.67,64,40,16.11,scattered clouds
1,Cape Town,ZA,-33.9258,18.4232,54.27,92,75,2.3,broken clouds
2,Rikitea,PF,-23.1203,-134.9692,74.05,79,100,16.71,light rain
3,Iqaluit,CA,63.7506,-68.5145,26.33,92,20,10.0,few clouds
4,Bredasdorp,ZA,-34.5322,20.0403,45.72,87,97,4.61,overcast clouds
5,Busselton,AU,-33.65,115.3333,61.05,55,3,16.46,clear sky
6,Punta Arenas,CL,-53.15,-70.9167,37.51,87,40,11.5,scattered clouds
7,Saint-Joseph,RE,-21.3667,55.6167,68.36,78,4,12.66,clear sky
8,Petukhovo,RU,55.0692,67.9019,43.61,59,61,6.76,broken clouds
9,Dikson,RU,73.5069,80.5464,35.96,88,100,17.38,overcast clouds
10,Mutoko,ZW,-17.397,32.2268,53.2,71,0,3.67,clear sky
11,Albany,US,42.6001,-73.9662,57.45,86,1,1.63,clear sky
12,Chicama,PE,-7.8447,-79.1469,57.74,81,24,6.53,few clouds
13,Port Alfred,ZA,-33.5906,26.891,58.91,82,73,7.87,broken clouds
14,New Norfolk,AU,-42.7826,147.0587,49.75,71,75,1.99,broken clouds
15,Souillac,MU,-20.5167,57.5167,72.36,83,40,14.97,scattered clouds
16,Blackwater,AU,-23.5833,148.8833,83.32,26,0,2.01,clear sky
17,Esperance,AU,-33.8667,121.9,60.64,48,43,13.18,scattered clouds
18,Tasiilaq,GL,65.6145,-37.6368,29.1,77,98,8.21,overcast clouds
19,Barrow,US,71.2906,-156.7887,28.42,93,75,0.0,light snow
20,Port Elizabeth,ZA,-33.918,25.5701,50.29,93,0,1.14,clear sky
21,Gat,IL,31.61,34.7642,70.48,59,84,4.18,broken clouds
22,Guerrero Negro,MX,27.9769,-114.0611,72.45,72,100,13.98,overcast clouds
23,Kitami,JP,43.8031,143.8908,62.06,59,25,12.57,scattered clouds
24,Ponta Do Sol,PT,32.6667,-17.1,68.72,69,1,0.72,clear sky
25,Sorland,NO,67.667,12.6934,48.06,80,100,13.04,light rain
26,Luderitz,NA,-26.6481,15.1594,58.55,66,29,9.22,scattered clouds
27,Butaritari,KI,3.0707,172.7902,83.73,73,11,10.29,few clouds
28,Thakurgaon,BD,26.0333,88.4667,86.68,68,6,4.23,clear sky
29,Skjervoy,NO,70.0311,20.9714,47.66,82,100,18.7,light rain
30,Bluff,NZ,-46.6,168.3333,47.8,69,84,30.62,light rain
31,Rocha,UY,-34.4833,-54.3333,51.93,98,30,2.93,scattered clouds
32,Cidreira,BR,-30.1811,-50.2056,60.06,85,34,2.91,scattered clouds
33,Severo-Kurilsk,RU,50.6789,156.125,47.57,93,100,30.11,light rain
34,Arraial Do Cabo,BR,-22.9661,-42.0278,69.12,77,98,24.02,overcast clouds
35,Soe,ID,-9.8607,124.284,85.55,36,18,6.44,few clouds
36,Ancud,CL,-41.8697,-73.8203,50.43,93,100,11.12,overcast clouds
37,Mataura,NZ,-46.1927,168.8643,47.48,86,96,10.71,light rain
38,Erdenet,MN,49.0333,104.0833,45.28,73,100,5.91,overcast clouds
39,Vaini,TO,-21.2,-175.2,75.36,73,20,12.66,few clouds
40,Kodiak,US,57.79,-152.4072,51.31,25,1,6.91,volcanic ash
41,Shakiso,ET,5.75,38.9167,58.37,92,100,2.51,overcast clouds
42,Yar-Sale,RU,66.8333,70.8333,36.01,81,15,6.13,few clouds
43,Jamestown,US,42.097,-79.2353,57.72,83,1,1.01,clear sky
44,Nanakuli,US,21.3906,-158.1547,87.75,64,40,10.36,scattered clouds
45,Kapaa,US,22.0752,-159.319,82.38,76,75,3.0,light rain
46,Thompson,CA,55.7435,-97.8558,42.96,93,90,10.36,mist
47,Sibolga,ID,1.7427,98.7792,85.33,67,100,2.86,overcast clouds
48,San Quintin,MX,30.4833,-115.95,69.3,78,85,1.43,overcast clouds
49,Havelock,US,34.8791,-76.9013,68.95,89,0,6.11,clear sky
50,Khatanga,RU,71.9667,102.5,33.87,78,100,10.07,overcast clouds
51,Ushuaia,AR,-54.8,-68.3,37.06,93,75,3.44,light intensity drizzle
52,Imeni Poliny Osipenko,RU,52.4201,136.4853,60.89,52,7,7.2,clear sky
53,Abilene,US,32.4487,-99.7331,73.49,39,1,8.05,clear sky
54,Umm Lajj,SA,25.0213,37.2685,81.1,64,11,12.68,few clouds
55,Vao,NC,-22.6667,167.4833,68.76,66,62,11.16,broken clouds
56,Chuy,UY,-33.6971,-53.4616,57.04,96,52,6.71,broken clouds
57,Comodoro Rivadavia,AR,-45.8667,-67.5,58.86,55,0,8.05,clear sky
58,Lavrentiya,RU,65.5833,-171.0,32.54,90,100,22.77,light snow
59,Kavieng,PG,-2.5744,150.7967,83.66,72,14,10.2,light rain
60,Hilo,US,19.7297,-155.09,80.28,83,90,5.75,light rain
61,Upernavik,GL,72.7868,-56.1549,20.75,80,35,6.02,scattered clouds
62,Bengkulu,ID,-3.8004,102.2655,82.9,72,94,3.67,overcast clouds
63,College,US,64.8569,-147.8028,34.59,90,90,0.0,light snow
64,Kaoma,ZM,-14.7833,24.8,59.27,54,0,5.03,clear sky
65,Huntsville,US,34.7304,-86.5861,60.76,84,1,3.0,clear sky
66,Vostok,RU,46.4856,135.8833,60.8,44,100,2.37,overcast clouds
67,Manica,FR,49.0,-1.1667,47.61,93,0,2.46,clear sky
68,Roxana,CR,10.2753,-83.7513,79.32,96,100,2.35,overcast clouds
69,Airai,TL,-8.9266,125.4092,79.07,36,28,2.86,scattered clouds
70,Darhan,MN,49.4867,105.9228,49.28,72,100,10.38,light rain
71,Hermanus,ZA,-34.4187,19.2345,53.91,83,100,4.12,overcast clouds
72,Provideniya,RU,64.3833,-173.3,33.51,89,100,16.71,overcast clouds
73,Aklavik,CA,68.2191,-135.0107,36.32,98,100,17.94,light rain
74,Smithers,CA,54.7804,-127.1743,53.92,87,90,0.0,overcast clouds
75,Gizo,SB,-8.103,156.8419,84.49,70,84,2.95,broken clouds
76,Banjar,ID,-8.19,114.9675,82.26,61,74,4.18,broken clouds
77,Asau,RO,46.4333,26.4,46.76,95,75,4.88,broken clouds
78,Namibe,AO,-15.1961,12.1522,64.76,92,53,5.55,broken clouds
79,Tuktoyaktuk,CA,69.4541,-133.0374,33.8,100,90,18.41,light intensity drizzle
80,Mukhen,RU,48.1,136.1,66.09,45,60,3.33,broken clouds
81,Vestmannaeyjar,IS,63.4427,-20.2734,42.8,79,92,6.64,overcast clouds
82,Katsuura,JP,35.1333,140.3,77.11,73,55,15.59,broken clouds
83,Torbay,CA,47.6666,-52.7314,47.57,83,75,6.91,broken clouds
84,Erenhot,CN,43.6475,111.9767,72.27,44,0,11.56,clear sky
85,Saldanha,ZA,-33.0117,17.9442,42.85,86,100,3.78,overcast clouds
86,Goderich,CA,43.7501,-81.7165,57.52,67,7,6.91,clear sky
87,Bathsheba,BB,13.2167,-59.5167,79.41,89,40,6.91,scattered clouds
88,Haines Junction,CA,60.7522,-137.5108,42.75,49,65,11.5,broken clouds
89,Hithadhoo,MV,-0.6,73.0833,82.71,72,99,12.8,overcast clouds
90,Santa Rosa,PH,14.3122,121.1114,89.11,64,30,7.52,scattered clouds
91,Agirish,RU,61.9247,63.0231,36.66,86,12,5.06,few clouds
92,Tromso,NO,69.6496,18.957,44.62,76,75,0.0,broken clouds
93,Shirgaon,IN,19.7,72.7,80.8,78,100,2.84,overcast clouds
94,Harpanahalli,IN,14.8,75.9833,73.83,84,97,12.26,overcast clouds
95,Hrubieszow,PL,50.805,23.8925,54.55,73,99,11.25,overcast clouds
96,Dingle,PH,10.9995,122.6711,86.95,69,94,7.9,overcast clouds
97,Kuryk,KZ,43.2,51.65,60.51,74,13,14.18,few clouds
98,Batagay,RU,67.6333,134.6333,39.11,61,97,7.54,overcast clouds
99,Castro,BR,-24.7911,-50.0119,55.18,97,34,5.1,scattered clouds
100,Ust-Ilimsk,RU,58.0006,102.6619,42.75,57,23,3.6,few clouds
101,Metro,ID,-5.1131,105.3067,86.14,62,55,7.76,broken clouds
102,Vidim,RU,56.4088,103.1106,42.31,65,64,4.97,broken clouds
103,Cherskiy,RU,68.75,161.3,35.82,90,100,12.5,overcast clouds
104,Hasaki,JP,35.7333,140.8333,75.6,70,71,18.81,broken clouds
105,Totma,RU,59.9747,42.7642,42.42,96,95,5.21,overcast clouds
106,Cockburn Town,TC,21.4612,-71.1419,82.72,73,97,9.64,overcast clouds
107,Chokurdakh,RU,70.6333,147.9167,34.57,86,100,16.37,overcast clouds
108,Fortuna,US,40.5982,-124.1573,75.18,69,1,1.01,clear sky
109,Mar Del Plata,AR,-38.0023,-57.5575,55.13,59,0,1.99,clear sky
110,Kayerkan,RU,69.3497,87.7602,36.77,61,65,1.88,broken clouds
111,Obo,CF,5.3998,26.4869,65.84,98,100,2.84,overcast clouds
112,Hunterville,NZ,-39.9333,175.5667,67.24,54,70,8.46,broken clouds
113,Labuan,MY,5.2767,115.2417,87.96,83,20,1.99,few clouds
114,Tautira,PF,-17.7333,-149.15,82.42,65,0,4.0,clear sky
115,Gisborne,NZ,-38.6533,178.0042,68.95,61,39,6.78,scattered clouds
116,Atuona,PF,-9.8,-139.0333,77.88,80,100,16.82,overcast clouds
117,Cayenne,GF,4.9333,-52.3333,83.08,82,55,1.99,broken clouds
118,Pevek,RU,69.7008,170.3133,28.87,76,100,14.03,overcast clouds
119,Berbera,SO,10.4396,45.0143,89.53,44,92,12.5,overcast clouds
120,Faanui,PF,-16.4833,-151.75,77.23,62,0,2.06,clear sky
121,Buala,SB,-8.145,159.5921,85.3,69,92,7.31,light rain
122,Rio Grande,BR,-32.035,-52.0986,57.11,95,36,9.71,scattered clouds
123,Lagoa,PT,39.05,-27.9833,70.18,77,100,16.24,overcast clouds
124,Batsfjord,NO,70.6345,29.7185,45.57,93,100,5.75,light rain
125,Lebu,CL,-37.6167,-73.65,51.6,94,11,3.56,few clouds
126,Kipini,KE,-2.5257,40.5262,77.29,80,88,15.88,overcast clouds
127,Ribeira Grande,PT,38.5167,-28.7,70.66,82,100,20.02,overcast clouds
128,Sao Joao Da Barra,BR,-21.6403,-41.0511,70.48,70,100,19.19,overcast clouds
129,Aljezur,PT,37.3191,-8.8033,63.03,91,0,5.03,clear sky
130,Georgetown,MY,5.4112,100.3354,87.73,79,20,1.01,haze
131,Pinehurst,US,35.1954,-79.4695,62.82,86,1,0.0,clear sky
132,Kokkola,FI,63.8385,23.1307,45.03,90,90,1.99,overcast clouds
133,Broome,US,42.2506,-75.833,57.67,75,1,5.75,clear sky
134,Ko Samui,TH,9.5357,99.9357,78.71,89,75,14.97,light rain
135,Keetmanshoop,NA,-26.5833,18.1333,63.52,16,26,2.84,scattered clouds
136,Grindavik,IS,63.8424,-22.4338,41.47,75,90,13.8,light intensity drizzle
137,Tura,IN,25.5198,90.2201,84.74,71,9,1.7,clear sky
138,Nanortalik,GL,60.1432,-45.2371,36.39,65,2,9.89,clear sky
139,Sept-Iles,CA,50.2001,-66.3821,52.32,96,90,11.99,overcast clouds
140,Kampong Cham,KH,11.9934,105.4635,83.17,75,97,7.99,overcast clouds
141,Labuhan,ID,-6.8844,112.2051,86.23,63,73,8.37,broken clouds
142,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,55.99,54,75,11.18,broken clouds
143,Puerto Ayora,EC,-0.7393,-90.3518,69.55,89,86,5.7,overcast clouds
144,Narsaq,GL,60.9167,-46.05,34.02,43,0,4.21,clear sky
145,Husavik,IS,66.0449,-17.3389,35.51,90,100,6.22,overcast clouds
146,Samarinda,ID,-0.5,117.15,83.98,67,91,3.04,overcast clouds
147,Kaitangata,NZ,-46.2817,169.8464,47.46,90,70,16.6,broken clouds
148,Yellowknife,CA,62.456,-114.3525,46.42,99,75,14.97,light rain
149,La Victoria,VE,10.2184,-67.3302,78.04,95,8,1.99,clear sky
150,Boyuibe,BO,-20.4167,-63.2833,65.73,43,61,4.7,broken clouds
151,Cabo San Lucas,MX,22.8909,-109.9124,85.6,79,3,8.28,clear sky
152,San Policarpo,PH,12.1791,125.5072,86.22,69,23,7.29,few clouds
153,Eidsvag,NO,62.7767,8.0668,50.05,93,100,8.77,overcast clouds
154,Dongsheng,CN,39.8161,109.9776,66.02,57,100,12.28,overcast clouds
155,Mumford,GH,5.2618,-0.759,76.78,88,98,8.88,light rain
156,Qaanaaq,GL,77.484,-69.3632,15.12,68,25,8.19,scattered clouds
157,Puerto Escondido,MX,15.85,-97.0667,80.17,85,100,3.6,overcast clouds
158,Xining,CN,36.6167,101.7667,62.22,56,100,4.14,overcast clouds
159,Tessalit,ML,20.1986,1.0114,85.57,10,5,10.02,clear sky
160,Mount Gambier,AU,-37.8333,140.7667,51.71,66,75,14.97,broken clouds
161,Mahebourg,MU,-20.4081,57.7,72.25,83,40,14.97,light rain
162,Yemelyanovo,RU,56.1681,92.6767,36.41,93,75,4.47,shower sleet
163,Sangar,RU,63.9242,127.4739,40.42,83,99,9.55,overcast clouds
164,Avarua,CK,-21.2078,-159.775,77.05,57,98,8.05,overcast clouds
165,Barkaker,NO,59.3167,10.3833,55.47,51,100,1.01,overcast clouds
166,Hamilton,US,39.1834,-84.5333,62.37,78,1,0.0,clear sky
167,Bambous Virieux,MU,-20.3428,57.7575,72.21,83,40,14.97,light rain
168,Harper,LR,4.375,-7.7169,77.13,89,80,6.96,light rain
169,Tiksi,RU,71.6872,128.8694,33.89,76,100,20.69,overcast clouds
170,Jorpeland,NO,59.0225,6.0408,55.22,75,100,19.48,overcast clouds
171,Nongstoin,IN,25.5167,91.2667,77.4,65,4,1.28,clear sky
172,Nuuk,GL,64.1835,-51.7216,31.48,52,0,17.63,clear sky
173,Buchanan,LR,5.8808,-10.0467,75.16,86,66,5.88,broken clouds
174,Nefteyugansk,RU,61.0998,72.6035,34.05,67,82,8.21,broken clouds
175,Tahe,CN,52.3333,124.7333,57.0,78,100,1.86,overcast clouds
176,Gayeri,BF,12.6497,0.4931,76.01,81,66,8.57,broken clouds
177,Ust-Kuyga,RU,70.0167,135.6,36.27,68,100,11.68,overcast clouds
178,Dukhovnitskoye,RU,52.4828,48.2137,50.85,79,100,6.06,overcast clouds
179,Flin Flon,CA,54.7682,-101.865,43.9,78,100,0.69,overcast clouds
180,Atar,MR,20.5169,-13.0499,88.41,21,15,6.62,few clouds
181,Bethel,US,41.3712,-73.414,62.47,91,1,3.44,clear sky
182,Bumba,CD,2.1833,22.4667,67.48,90,100,1.77,overcast clouds
183,Saint George,US,37.1041,-113.5841,88.39,12,1,1.99,clear sky
184,Mount Isa,AU,-20.7333,139.5,89.37,12,69,8.05,broken clouds
185,Hobart,AU,-42.8794,147.3294,50.11,62,20,1.99,moderate rain
186,Sarkand,KZ,45.41,79.9186,51.42,25,3,5.26,clear sky
187,Chaman,PK,30.9236,66.4512,76.48,15,0,3.4,clear sky
188,Dunedin,NZ,-45.8742,170.5036,60.58,53,16,16.22,few clouds
189,Verkhoyansk,RU,67.5447,133.385,41.14,56,99,6.55,overcast clouds
190,Vila Franca Do Campo,PT,37.7167,-25.4333,68.41,80,99,6.11,overcast clouds
191,Gogrial,SS,8.5332,28.1004,68.5,96,100,5.68,light rain
192,Parga,GR,39.2831,20.3964,60.78,61,3,4.41,clear sky
193,Phitsanulok,TH,16.9167,100.5,77.11,83,100,5.97,light rain
194,Ridgecrest,US,35.6225,-117.6709,87.66,15,1,1.01,clear sky
195,Salalah,OM,17.0151,54.0924,82.49,78,75,3.44,broken clouds
196,Necochea,AR,-38.5473,-58.7368,53.04,89,0,11.68,clear sky
197,Gondar,ET,12.6,37.4667,54.63,78,93,3.62,overcast clouds
198,Osypenko,UA,46.9136,36.8253,49.84,93,67,8.19,broken clouds
199,Pizarro,CO,4.9533,-77.366,77.77,83,100,3.42,overcast clouds
200,Ladnun,IN,27.65,74.3833,82.83,69,83,6.91,broken clouds
201,Oktyabrskoye,RU,43.0645,44.7417,46.54,100,100,6.71,overcast clouds
202,Forio,IT,40.7342,13.8646,67.73,60,0,4.03,clear sky
203,Fayaoue,NC,-20.65,166.5333,72.34,67,53,9.22,broken clouds
204,Gamba,GA,-2.65,10.0,75.24,89,100,4.97,overcast clouds
205,Champerico,GT,14.3,-91.9167,81.72,88,100,5.82,overcast clouds
206,Frontera,MX,26.9333,-101.45,79.95,56,0,2.15,clear sky
207,Makakilo City,US,21.3469,-158.0858,86.32,62,40,10.36,scattered clouds
208,Dezhou,CN,37.4486,116.2925,63.61,87,100,12.59,overcast clouds
209,Xichang,CN,27.8964,102.2634,74.53,71,14,3.89,few clouds
210,Bosobolo,CD,4.1833,19.9,67.77,98,99,0.38,overcast clouds
211,Leshukonskoye,RU,64.8989,45.7622,46.15,96,100,7.94,overcast clouds
212,Ceres,US,37.5949,-120.9577,88.81,37,1,5.75,clear sky
213,Kautokeino,NO,69.0125,23.0412,41.22,96,100,14.83,overcast clouds
214,Kahului,US,20.8947,-156.47,84.22,69,40,20.71,scattered clouds
215,Nikolskoye,RU,59.7035,30.7861,46.87,93,100,7.56,moderate rain
216,Jiaojiang,CN,28.6803,121.4428,84.99,66,2,6.02,clear sky
217,Ambilobe,MG,-13.2,49.05,69.78,74,3,2.84,clear sky
218,Constitucion,CL,-35.3333,-72.4167,51.91,93,5,4.92,clear sky
219,Bowen,AU,-20.0167,148.2333,79.02,59,2,12.86,clear sky
220,Dalby,AU,-27.1833,151.2667,86.99,19,62,3.0,broken clouds
221,Vyazma,RU,55.2104,34.2951,44.51,99,100,5.06,overcast clouds
222,Mikhaylovka,RU,50.06,43.2379,49.98,71,100,5.08,overcast clouds
223,Chapais,CA,49.7834,-74.8492,53.38,86,100,14.29,overcast clouds
224,Namatanai,PG,-3.6667,152.4333,83.57,71,26,7.63,light rain
225,Molepolole,BW,-24.4066,25.4951,55.54,27,31,6.46,scattered clouds
226,Salinas,US,36.6777,-121.6555,74.41,83,90,12.66,overcast clouds
227,Saint-Philippe,RE,-21.3585,55.7679,69.35,83,4,13.96,light rain
228,Caravelas,BR,-17.7125,-39.2481,70.5,67,74,8.57,broken clouds
229,Kutum,SD,14.2,24.6667,73.99,23,99,10.27,overcast clouds
230,Kapuskasing,CA,49.4169,-82.4331,46.4,100,20,8.05,few clouds
231,Araouane,ML,18.9048,-3.5265,91.8,28,73,7.92,broken clouds
232,Norman Wells,CA,65.282,-126.8329,37.44,93,90,11.5,overcast clouds
233,Anito,PH,12.4497,125.2886,87.73,66,42,6.13,scattered clouds
234,Port Hardy,CA,50.6996,-127.4199,57.38,77,90,4.61,overcast clouds
235,Klaksvik,FO,62.2266,-6.589,45.52,75,100,10.16,overcast clouds
236,Carutapera,BR,-1.195,-46.02,78.26,80,83,6.71,broken clouds
237,Gafanha Da Encarnacao,PT,40.6181,-8.733,64.78,88,100,11.25,overcast clouds
238,Morros,BR,-9.4467,-46.3003,78.53,47,53,3.27,broken clouds
239,Saskylakh,RU,71.9167,114.0833,33.01,84,100,14.99,overcast clouds
240,San Patricio,US,28.017,-97.5169,78.82,58,67,6.98,broken clouds
241,Oktyabrskiy,RU,54.4815,53.471,49.66,45,100,5.75,light rain
242,Sechelt,CA,49.4664,-123.7694,67.08,67,100,3.69,overcast clouds
243,Linares,CL,-35.85,-71.6,55.24,73,0,5.46,clear sky
244,Wajir,KE,1.7471,40.0573,72.0,75,96,13.78,overcast clouds
245,Sobreira,PT,41.5237,-7.8023,59.59,89,100,0.72,overcast clouds
246,Deputatskiy,RU,69.3,139.9,30.87,70,100,12.88,overcast clouds
247,San Luis,AR,-33.295,-66.3356,65.08,31,0,15.23,clear sky
248,Berlevag,NO,70.8578,29.0864,46.26,89,100,9.57,light rain
249,Blythe,US,33.6103,-114.5964,83.03,37,35,8.84,scattered clouds
250,Muroto,JP,33.2833,134.15,82.44,71,7,14.32,clear sky
251,Verkhnevilyuysk,RU,63.4453,120.3167,46.29,53,5,5.55,clear sky
252,Codrington,AU,-38.2667,141.9667,52.21,54,86,12.97,overcast clouds
253,Broken Hill,AU,-31.95,141.4333,58.71,41,40,11.5,scattered clouds
254,Marrakesh,MA,31.6315,-8.0083,62.67,72,0,5.75,clear sky
255,Puerto Del Rosario,ES,28.5004,-13.8627,71.35,73,0,8.05,clear sky
256,Conde,BR,-7.2597,-34.9075,74.66,94,75,5.75,broken clouds
257,Margate,GB,51.3813,1.3862,61.03,92,37,7.14,scattered clouds
258,Ocampo,MX,21.65,-101.5,66.96,72,96,8.16,overcast clouds
259,Tuatapere,NZ,-46.1333,167.6833,47.82,72,70,15.79,broken clouds
260,Beloha,MG,-25.1667,45.05,68.41,63,0,7.18,clear sky
261,Woudenberg,NL,52.0808,5.4167,63.05,85,100,1.01,overcast clouds
262,Lasa,IT,46.6166,10.7002,60.26,66,0,2.17,clear sky
263,Jumla,NP,29.2747,82.1838,61.47,85,100,2.48,overcast clouds
264,Sitka,US,57.0531,-135.33,49.89,76,90,9.22,light rain
265,Smoky Lake,CA,54.1169,-112.4686,66.92,48,97,5.75,overcast clouds
266,Adzope,CI,6.1069,-3.8619,71.58,99,97,2.19,overcast clouds
267,Zlitan,LY,32.4674,14.5687,73.83,76,1,10.98,clear sky
268,Ukiah,US,39.1502,-123.2078,84.09,18,1,0.0,clear sky
269,Ruidoso,US,33.3317,-105.673,63.9,59,75,4.61,broken clouds
270,Gushikawa,JP,26.3544,127.8686,88.83,71,20,13.8,few clouds
271,Talnakh,RU,69.4865,88.3972,37.42,59,80,0.76,broken clouds
272,Waikuku,NZ,-43.3,172.6833,61.09,78,1,10.0,clear sky
273,Ponnampet,IN,12.15,75.9333,70.32,89,99,4.7,overcast clouds
274,Teahupoo,PF,-17.8333,-149.2667,76.96,63,0,2.55,clear sky
275,Najran,SA,17.4924,44.1277,68.65,24,20,0.6,few clouds
276,Qandala,SO,11.472,49.8728,87.26,57,33,5.88,scattered clouds
277,Mormugao,IN,15.4,73.8,79.65,81,100,1.16,overcast clouds
278,Shevchenko,UA,48.5,35.0,45.64,93,100,6.71,fog
279,Rundu,NA,-17.9333,19.7667,63.52,31,0,6.38,clear sky
280,Vilyuysk,RU,63.7553,121.6247,45.66,47,7,8.25,clear sky
281,Kamenka,RU,51.3223,42.7678,45.36,83,85,6.58,overcast clouds
282,Nelson Bay,AU,-32.7167,152.15,79.75,50,10,3.0,clear sky
283,State College,US,40.7934,-77.86,55.89,88,40,1.01,scattered clouds
284,Meulaboh,ID,4.1363,96.1285,83.79,69,49,4.52,scattered clouds
285,Punta Alta,AR,-38.8759,-62.0736,57.72,75,0,13.71,clear sky
286,Sawtell,AU,-30.3833,153.1,77.02,31,98,4.61,overcast clouds
287,Nueva Gerona,CU,21.8833,-82.8,82.36,74,38,3.67,scattered clouds
288,Cacador,BR,-26.7753,-51.015,53.42,99,19,1.32,few clouds
289,Kilindoni,TZ,-7.9139,39.6668,76.33,79,8,10.04,clear sky
290,Bonthe,SL,7.5264,-12.505,76.77,89,100,4.12,moderate rain
291,Beidao,CN,34.5686,105.8933,64.6,94,100,1.92,light rain
292,Kalabo,ZM,-14.97,22.6814,61.99,38,0,5.48,clear sky
293,Kuytun,RU,54.3419,101.5036,40.69,68,100,8.03,overcast clouds
294,Srandakan,ID,-7.9386,110.2506,85.57,65,25,8.34,scattered clouds
295,Turukhansk,RU,65.8167,87.9833,35.15,83,15,10.83,few clouds
296,Gustavo Diaz Ordaz,MX,26.2333,-98.5833,79.03,67,5,1.01,clear sky
297,Kavaratti,IN,10.5669,72.642,81.77,78,100,14.56,overcast clouds
298,Oromocto,CA,45.8351,-66.4792,68.14,85,75,8.05,broken clouds
299,East London,ZA,-33.0153,27.9116,59.88,75,21,8.19,few clouds
300,Pierre,US,44.3683,-100.351,59.27,66,1,1.01,clear sky
301,Jurmala,LV,56.968,23.7704,50.02,93,90,9.22,overcast clouds
302,Tottori,JP,35.5,134.2333,75.27,78,20,12.66,few clouds
303,Semnan,IR,35.5729,53.3971,75.72,13,0,4.94,clear sky
304,Victoria,HK,22.2855,114.1577,92.21,74,62,1.99,broken clouds
305,Damara,CF,4.9608,18.7035,69.22,97,96,0.76,overcast clouds
306,Foumbot,CM,5.5079,10.6356,63.36,95,100,2.98,overcast clouds
307,Akdepe,TM,42.0551,59.3788,64.4,20,7,14.76,clear sky
308,Mosquera,CO,4.7059,-74.2302,57.29,77,75,4.61,broken clouds
309,Belaya Gora,RU,68.5333,146.4167,37.29,64,99,15.35,overcast clouds
310,Havre-Saint-Pierre,CA,50.2334,-63.5986,52.16,93,90,14.97,overcast clouds
311,Innisfail,AU,-17.5333,146.0333,76.19,67,96,8.95,overcast clouds
312,Thaba-Tseka,LS,-29.522,28.6084,51.58,50,19,2.68,few clouds
313,Ochakiv,UA,46.6128,31.5498,48.34,79,25,18.07,scattered clouds
314,Kaeo,NZ,-35.1,173.7833,67.32,65,0,9.8,clear sky
315,Longyearbyen,SJ,78.2186,15.6401,39.04,93,75,0.0,broken clouds
316,Isangel,VU,-19.55,169.2667,75.31,73,90,0.0,overcast clouds
317,Takoradi,GH,4.8845,-1.7554,76.17,92,100,8.79,light rain
318,Lompoc,US,34.6391,-120.4579,68.22,89,1,4.61,clear sky
319,Nouadhibou,MR,20.931,-17.0347,70.52,87,16,20.67,few clouds
320,Revelstoke,CA,50.9832,-118.2023,55.42,94,1,2.3,clear sky
321,Nador,MA,35.174,-2.9287,71.67,94,90,8.05,overcast clouds
322,Kabala,SL,9.5833,-11.55,70.29,98,100,1.88,light rain
323,Richards Bay,ZA,-28.783,32.0377,63.37,92,50,4.29,scattered clouds
324,Port Blair,IN,11.6667,92.75,82.89,78,93,14.5,overcast clouds
325,Polunochnoye,RU,60.8697,60.4153,36.23,97,14,2.57,few clouds
326,Mabua,PH,9.8089,125.4422,84.81,71,100,3.15,moderate rain
327,Muros,ES,42.7762,-9.0603,63.23,94,98,4.92,overcast clouds
328,Fare,PF,-16.7,-151.0167,77.52,62,0,1.97,clear sky
329,Kingston,JM,17.997,-76.7936,83.35,86,20,1.01,few clouds
330,Maarianhamina,AX,60.0973,19.9348,49.86,93,90,4.61,overcast clouds
331,Tskaltubo,GE,42.3254,42.5979,52.74,94,75,5.75,broken clouds
